candidate_id,name,years_experience,tech_skills,soft_skills,education_level,preferred_locations,salary_expectation,work_preference,industry_experience
C001,Candidate 1,10.2,"['Node.js', 'Kubernetes', 'CI/CD', 'AWS', 'Docker', 'Data Analysis', 'SQL', 'Java']","['Teamwork', 'Critical Thinking', 'Communication', 'Problem Solving', 'Creativity']",Master,"['Berlin', 'San Francisco']",175421,Remote,['Manufacturing']
C002,Candidate 2,15.8,"['JavaScript', 'REST API', 'DevOps', 'MongoDB', 'AWS', 'CI/CD', 'Python', 'React']","['Communication', 'Adaptability', 'Critical Thinking', 'Teamwork', 'Creativity']",Master,"['London', 'Remote']",154508,Hybrid,"['Education', 'Healthcare']"
C003,Candidate 3,2.9,"['Machine Learning', 'Git', 'Data Analysis', 'Java']","['Critical Thinking', 'Time Management', 'Problem Solving']",Master,['Remote'],84852,Hybrid,"['Retail', 'Healthcare']"
C004,Candidate 4,14.3,"['CI/CD', 'DevOps', 'Kubernetes', 'PostgreSQL', 'REST API']","['Problem Solving', 'Time Management', 'Critical Thinking']",PhD,"['Remote', 'San Francisco']",173451,Office,"['Retail', 'Healthcare', 'Manufacturing']"
C005,Candidate 5,16.5,"['REST API', 'Node.js', 'Data Analysis', 'Kubernetes', 'CI/CD']","['Teamwork', 'Creativity', 'Problem Solving']",PhD,"['San Francisco', 'London']",46674,Hybrid,"['Finance', 'Healthcare', 'Education']"
C006,Candidate 6,0.9,"['Node.js', 'Data Analysis', 'Kubernetes', 'DevOps', 'SQL']","['Critical Thinking', 'Teamwork', 'Communication']",Master,"['Tokyo', 'Remote']",55956,Remote,"['Education', 'Retail', 'Manufacturing']"
C007,Candidate 7,16.8,"['GraphQL', 'Python', 'Kubernetes', 'AWS', 'REST API', 'Git', 'JavaScript']","['Problem Solving', 'Teamwork']",PhD,"['New York', 'Tokyo']",52868,Remote,['Education']
C008,Candidate 8,16.7,"['SQL', 'Node.js', 'GraphQL', 'Git', 'React', 'Kubernetes', 'MongoDB', 'PostgreSQL', 'DevOps']","['Creativity', 'Time Management']",Master,"['Berlin', 'Tokyo', 'Remote']",84081,Remote,"['Retail', 'Technology']"
C009,Candidate 9,19.2,"['Python', 'AWS', 'DevOps', 'SQL', 'Machine Learning', 'PostgreSQL']","['Teamwork', 'Problem Solving', 'Adaptability', 'Time Management', 'Communication']",PhD,"['San Francisco', 'Tokyo']",143880,Hybrid,"['Healthcare', 'Retail', 'Technology']"
C010,Candidate 10,6.5,"['CI/CD', 'SQL', 'GraphQL', 'Kubernetes', 'JavaScript', 'React', 'Machine Learning', 'REST API', 'DevOps', 'Node.js']","['Leadership', 'Critical Thinking', 'Creativity', 'Problem Solving']",Master,['Tokyo'],153061,Hybrid,"['Retail', 'Manufacturing']"
